gene_mouse,gene_upper
Ahnak,AHNAK
Scgb1a1,SCGB1A1
Asrgl1,ASRGL1
Incenp,INCENP
Fth1,FTH1
Best1,BEST1
Rab3il1,RAB3IL1
Fads3,FADS3
Fads2,FADS2
Fads1,FADS1
Fen1,FEN1
Dagla,DAGLA
Syt7,SYT7
Lrrc10b,LRRC10B
Ppp1r32,PPP1R32
Sdhaf2,SDHAF2
Cpsf7,CPSF7
Tmem216,TMEM216
Tmem138,TMEM138
Ddb1,DDB1
Vwce,VWCE
4930524O05Rik,4930524O05RIK
Pga5,PGA5
Vps37c,VPS37C
Cd5,CD5
A430093F15Rik,A430093F15RIK
Cd6,CD6
Slc15a3,SLC15A3
Tmem132a,TMEM132A
Tmem109,TMEM109
Prpf19,PRPF19
Zp1,ZP1
Ccdc86,CCDC86
Ms4a10,MS4A10
Ms4a15,MS4A15
Ms4a18,MS4A18
AW112010,AW112010
Ms4a8a,MS4A8A
1700017D01Rik,1700017D01RIK
4930526L06Rik,4930526L06RIK
Ms4a1,MS4A1
Ms4a5,MS4A5
Ms4a7,MS4A7
Ms4a4c,MS4A4C
Ms4a4b,MS4A4B
Ms4a6c,MS4A6C
Gm8369,GM8369
Ms4a6b,MS4A6B
Ms4a4d,MS4A4D
Ms4a6d,MS4A6D
Ms4a2,MS4A2
Ms4a3,MS4A3
Oosp1,OOSP1
Gif,GIF
Mrpl16,MRPL16
Stx3,STX3
Patl1,PATL1
Osbp,OSBP
Pfpl,PFPL
Mpeg1,MPEG1
Dtx4,DTX4
Fam111a,FAM111A
A330040F15Rik,A330040F15RIK
Gm4952,GM4952
Glyat,GLYAT
Olfr1443,OLFR1443
Keg1,KEG1
Cntf,CNTF
U05342,U05342
Zfp91,ZFP91
Lpxn,LPXN
Olfr1444,OLFR1444
Tle4,TLE4
Psat1,PSAT1
Cep78,CEP78
C130060C02Rik,C130060C02RIK
Gnaq,GNAQ
E030024N20Rik,E030024N20RIK
Gna14,GNA14
Vps13a,VPS13A
Prune2,PRUNE2
Gcnt1,GCNT1
Rfk,RFK
Pcsk5,PCSK5
Ostf1,OSTF1
D030056L22Rik,D030056L22RIK
Trpm6,TRPM6
Rorb,RORB
Anxa1,ANXA1
1500015L24Rik,1500015L24RIK
C730002L08Rik,C730002L08RIK
Aldh1a1,ALDH1A1
Aldh1a7,ALDH1A7
Tmc1,TMC1
Zfand5,ZFAND5
Gda,GDA
1110059E24Rik,1110059E24RIK
Tmem2,TMEM2
Trpm3,TRPM3
Klf9,KLF9
Mir1192,MIR1192
Smc5,SMC5
Mamdc2,MAMDC2
1700028P14Rik,1700028P14RIK
Ptar1,PTAR1
Apba1,APBA1
Fam189a2,FAM189A2
Tjp2,TJP2
Fxn,FXN
Pip5k1b,PIP5K1B
Fam122a,FAM122A
Pgm5,PGM5
Foxd4,FOXD4
Cbwd1,CBWD1
Dock8,DOCK8
Kank1,KANK1
Dmrt1,DMRT1
Dmrt3,DMRT3
2610016A17Rik,2610016A17RIK
Dmrt2,DMRT2
Smarca2,SMARCA2
4931403E22Rik,4931403E22RIK
Gm815,GM815
Vldlr,VLDLR
Kcnv2,KCNV2
Rfx3,RFX3
Glis3,GLIS3
D930032P07Rik,D930032P07RIK
Slc1a1,SLC1A1
4430402I18Rik,4430402I18RIK
Cdc37l1,CDC37L1
Ak3,AK3
1700018L02Rik,1700018L02RIK
Gm9895,GM9895
Rcl1,RCL1
Jak2,JAK2
Insl6,INSL6
Rln1,RLN1
Cd274,CD274
Pdcd1lg2,PDCD1LG2
A930007I19Rik,A930007I19RIK
Ermp1,ERMP1
Mlana,MLANA
9930021J03Rik,9930021J03RIK
Ranbp6,RANBP6
Il33,IL33
Trpd52l3,TRPD52L3
Uhrf2,UHRF2
Gldc,GLDC
Mbl2,MBL2
Ppp1r2-ps3,PPP1R2-PS3
Dkk1,DKK1
Prkg1,PRKG1
Cstf2t,CSTF2T
A1cf,A1CF
Asah2,ASAH2
Sgms1,SGMS1
2700046G09Rik,2700046G09RIK
Minpp1,MINPP1
Papss2,PAPSS2
Atad1,ATAD1
Pten,PTEN
Rnls,RNLS
Lipo1,LIPO1
Lipf,LIPF
Lipk,LIPK
Lipn,LIPN
Lipm,LIPM
Ankrd22,ANKRD22
Stambpl1,STAMBPL1
Acta2,ACTA2
Fas,FAS
Ch25h,CH25H
Lipa,LIPA
Ifit2,IFIT2
Ifit3,IFIT3
Ifit1,IFIT1
Slc16a12,SLC16A12
Pank1,PANK1
Kif20b,KIF20B
Htr7,HTR7
Rpp30,RPP30
Ankrd1,ANKRD1
Pcgf5,PCGF5
Hectd2,HECTD2
Ppp1r3c,PPP1R3C
Tnks2,TNKS2
Fgfbp3,FGFBP3
Btaf1,BTAF1
Cpeb3,CPEB3
A330032B11Rik,A330032B11RIK
March5,MARCH5
Ide,IDE
Kif11,KIF11
Hhex,HHEX
Exoc6,EXOC6
Cyp26c1,CYP26C1
Cyp26a1,CYP26A1
Myof,MYOF
Cep55,CEP55
Rbp4,RBP4
Pde6c,PDE6C
Lgi1,LGI1
Plce1,PLCE1
Noc3l,NOC3L
Tbc1d12,TBC1D12
Hells,HELLS
Cyp2c55,CYP2C55
Cyp2c65,CYP2C65
Cyp2c66,CYP2C66
Cyp2c53-ps,CYP2C53-PS
Cyp2c29,CYP2C29
Cyp2c38,CYP2C38
Cyp2c39,CYP2C39
Cyp2c67,CYP2C67
Cyp2c68,CYP2C68
Cyp2c40,CYP2C40
Cyp2c69,CYP2C69
Cyp2c37,CYP2C37
Cyp2c54,CYP2C54
Cyp2c50,CYP2C50
Cyp2c70,CYP2C70
Pdlim1,PDLIM1
Sorbs1,SORBS1
Aldh18a1,ALDH18A1
Tctn3,TCTN3
Entpd1,ENTPD1
Ccnj,CCNJ
E030044B06Rik,E030044B06RIK
Zfp518a,ZFP518A
Blnk,BLNK
Dntt,DNTT
Opalin,OPALIN
Tll2,TLL2
Tm9sf3,TM9SF3
Pik3ap1,PIK3AP1
Lcor,LCOR
Slit1,SLIT1
Arhgap19,ARHGAP19
Frat1,FRAT1
Frat2,FRAT2
Rrp12,RRP12
Pgam1,PGAM1
Exosc1,EXOSC1
Zdhhc16,ZDHHC16
Mms19,MMS19
Ubtd1,UBTD1
Ankrd2,ANKRD2
Hoga1,HOGA1
4933411K16Rik,4933411K16RIK
Morn4,MORN4
Pi4k2a,PI4K2A
Avpi1,AVPI1
Marveld1,MARVELD1
Zfyve27,ZFYVE27
Sfrp5,SFRP5
Golga7b,GOLGA7B
Crtac1,CRTAC1
Loxl4,LOXL4
Pyroxd2,PYROXD2
Hps1,HPS1
Hpse2,HPSE2
Cnnm1,CNNM1
Got1,GOT1
Nkx2-3,NKX2-3
Slc25a28,SLC25A28
BC037704,BC037704
Entpd7,ENTPD7
Cox15,COX15
Cutc,CUTC
Abcc2,ABCC2
Dnmbp,DNMBP
Cpn1,CPN1
Erlin1,ERLIN1
Chuk,CHUK
Cwf19l1,CWF19L1
Bloc1s2,BLOC1S2
Pkd2l1,PKD2L1
Scd3,SCD3
Scd2,SCD2
Scd4,SCD4
Scd1,SCD1
Wnt8b,WNT8B
Sec31b,SEC31B
Ndufb8,NDUFB8
Hif1an,HIF1AN
Pax2,PAX2
4930414N06Rik,4930414N06RIK
Sema4g,SEMA4G
Mrpl43,MRPL43
Lzts2,LZTS2
Pdzd7,PDZD7
Sfxn3,SFXN3
Kazald1,KAZALD1
Tlx1,TLX1
Lbx1,LBX1
Btrc,BTRC
Poll,POLL
Fbxw4,FBXW4
Fgf8,FGF8
Npm3,NPM3
Mgea5,MGEA5
Kcnip2,KCNIP2
Hps6,HPS6
Ldb1,LDB1
Pprc1,PPRC1
Nolc1,NOLC1
Elovl3,ELOVL3
Pitx3,PITX3
Gbf1,GBF1
Nfkb2,NFKB2
Psd,PSD
Fbxl15,FBXL15
Cuedc2,CUEDC2
2310034G01Rik,2310034G01RIK
Actr1a,ACTR1A
Sufu,SUFU
Trim8,TRIM8
Arl3,ARL3
Sfxn2,SFXN2
Cyp17a1,CYP17A1
As3mt,AS3MT
Cnnm2,CNNM2
Nt5c2,NT5C2
Ina,INA
Pcgf6,PCGF6
Taf5,TAF5
Usmg5,USMG5
Pdcd11,PDCD11
Calhm2,CALHM2
Neurl1a,NEURL1A
Sh3pxd2a,SH3PXD2A
Gm19557,GM19557
Slk,SLK
Col17a1,COL17A1
Sfr1,SFR1
Gsto1,GSTO1
Gsto2,GSTO2
Itprip,ITPRIP
Sorcs3,SORCS3
Sorcs1,SORCS1
Ins1,INS1
AA387883,AA387883
Xpnpep1,XPNPEP1
1700054A03Rik,1700054A03RIK
Add3,ADD3
1700001K23Rik,1700001K23RIK
Mxi1,MXI1
Smndc1,SMNDC1
Dusp5,DUSP5
Smc3,SMC3
Rbm20,RBM20
Pdcd4,PDCD4
Bbip1,BBIP1
Shoc2,SHOC2
Adra2a,ADRA2A
Gpam,GPAM
Tectb,TECTB
Gucy2g,GUCY2G
Acsl5,ACSL5
Zdhhc6,ZDHHC6
Vti1a,VTI1A
Tcf7l2,TCF7L2
Habp2,HABP2
Nrap,NRAP
Casp7,CASP7
Dclre1a,DCLRE1A
Nhlrc2,NHLRC2
Adrb1,ADRB1
Tdrd1,TDRD1
Vwa2,VWA2
Afap1l2,AFAP1L2
Ablim1,ABLIM1
4930449E18Rik,4930449E18RIK
B230217O12Rik,B230217O12RIK
Fam160b1,FAM160B1
Trub1,TRUB1
6720468P15Rik,6720468P15RIK
Atrnl1,ATRNL1
Gfra1,GFRA1
1810007D17Rik,1810007D17RIK
Pnlip,PNLIP
1810018F18Rik,1810018F18RIK
Pnliprp1,PNLIPRP1
Pnliprp2,PNLIPRP2
1700019N19Rik,1700019N19RIK
Hspa12a,HSPA12A
Eno4,ENO4
Vax1,VAX1
Slc18a2,SLC18A2
Pdzd8,PDZD8
Emx2os,EMX2OS
Emx2,EMX2
2700089I24Rik,2700089I24RIK
Rab11fip2,RAB11FIP2
E330013P04Rik,E330013P04RIK
Prlhr,PRLHR
Nanos1,NANOS1
Eif3a,EIF3A
Fam45a,FAM45A
Sfxn4,SFXN4
Prdx3,PRDX3
Grk5,GRK5
Gm7102,GM7102
Csf2ra,CSF2RA
Fam171a1,FAM171A1
Nmt2,NMT2
Rpp38,RPP38
Acbd7,ACBD7
Olah,OLAH
Meig1,MEIG1
Dclre1c,DCLRE1C
Suv39h2,SUV39H2
Hspa14,HSPA14
Cdnf,CDNF
Fam107b,FAM107B
Frmd4a,FRMD4A
Prpf18,PRPF18
Bend7,BEND7
Sephs1,SEPHS1
Phyh,PHYH
Ucma,UCMA
Mcm10,MCM10
Optn,OPTN
Ccdc3,CCDC3
Camk1d,CAMK1D
Cdc123,CDC123
Nudt5,NUDT5
Sec61a2,SEC61A2
Dhtkd1,DHTKD1
Upf2,UPF2
Gm10857,GM10857
Echdc3,ECHDC3
A230108P19Rik,A230108P19RIK
Usp6nl,USP6NL
Celf2,CELF2
1700061F12Rik,1700061F12RIK
Gata3,GATA3
4930412O13Rik,4930412O13RIK
9230102O04Rik,9230102O04RIK
Taf3,TAF3
Atp5c1,ATP5C1
Kin,KIN
Itih2,ITIH2
Itih5,ITIH5
Sfmbt2,SFMBT2
Prkcq,PRKCQ
8030442B05Rik,8030442B05RIK
Gm13293,GM13293
Pfkfb3,PFKFB3
Rbm17,RBM17
Il2ra,IL2RA
Il15ra,IL15RA
Fbxo18,FBXO18
Ankrd16,ANKRD16
Itga8,ITGA8
E030013I19Rik,E030013I19RIK
Pter,PTER
C1ql3,C1QL3
Rsu1,RSU1
Cubn,CUBN
Trdmt1,TRDMT1
Vim,VIM
St8sia6,ST8SIA6
Stam,STAM
Mrc1,MRC1
Slc39a12,SLC39A12
Cacnb2,CACNB2
Gm13315,GM13315
Nsun6,NSUN6
Arl5b,ARL5B
Plxdc2,PLXDC2
Nebl,NEBL
A930004D18Rik,A930004D18RIK
Mllt10,MLLT10
Dnajc1,DNAJC1
Commd3,COMMD3
Bmi1,BMI1
Pip4k2a,PIP4K2A
4930426L09Rik,4930426L09RIK
Armc3,ARMC3
Msrb2,MSRB2
Ptf1a,PTF1A
4921504E06Rik,4921504E06RIK
Otud1,OTUD1
Etl4,ETL4
Arhgap21,ARHGAP21
Gm13375,GM13375
Enkur,ENKUR
Thnsl1,THNSL1
Gpr158,GPR158
Myo3a,MYO3A
Gad2,GAD2
Apbb1ip,APBB1IP
Pdss1,PDSS1
Abi1,ABI1
Acbd5,ACBD5
Mastl,MASTL
Yme1l1,YME1L1
4931423N10Rik,4931423N10RIK
Nxph2,NXPH2
Spopl,SPOPL
Hnmt,HNMT
Tbpl2,TBPL2
Il1f8,IL1F8
Il1f9,IL1F9
Il1f6,IL1F6
Il1f5,IL1F5
Il1f10,IL1F10
Il1rn,IL1RN
Psd4,PSD4
Pax8,PAX8
Cacna1b,CACNA1B
Ehmt1,EHMT1
Arrdc1,ARRDC1
Zmynd19,ZMYND19
Mrpl41,MRPL41
Pnpla7,PNPLA7
Entpd8,ENTPD8
Noxa1,NOXA1
Nrarp,NRARP
Fam166a,FAM166A
Tubb4b,TUBB4B
Slc34a3,SLC34A3
Rnf208,RNF208
Tmem203,TMEM203
Tprn,TPRN
Ssna1,SSNA1
Anapc2,ANAPC2
Tmem210,TMEM210
Lrrc26,LRRC26
Grin1,GRIN1
Man1b1,MAN1B1
Dpp7,DPP7
Uap1l1,UAP1L1
Entpd2,ENTPD2
Npdc1,NPDC1
Fut7,FUT7
Abca2,ABCA2
Clic3,CLIC3
Ptgds,PTGDS
Lcn12,LCN12
C8g,C8G
Fbxw5,FBXW5
Traf2,TRAF2
Edf1,EDF1
Mamdc4,MAMDC4
Phpt1,PHPT1
Tmem141,TMEM141
Fcna,FCNA
Lcn8,LCN8
Lcn6,LCN6
Lcn10,LCN10
Bmyc,BMYC
Lcn11,LCN11
Gm13539,GM13539
Sohlh1,SOHLH1
Kcnt1,KCNT1
Camsap1,CAMSAP1
Ubac1,UBAC1
Nacc2,NACC2
Lhx3,LHX3
Qsox2,QSOX2
Gpsm1,GPSM1
Dnlz,DNLZ
Card9,CARD9
Snapc4,SNAPC4
Sdccag3,SDCCAG3
Pmpca,PMPCA
Inpp5e,INPP5E
Sec16a,SEC16A
Notch1,NOTCH1
Egfl7,EGFL7
Agpat2,AGPAT2
Fam69b,FAM69B
Snora43,SNORA43
Snora17,SNORA17
Lcn4,LCN4
Abo,ABO
Surf6,SURF6
Med22,MED22
Rpl7a,RPL7A
Surf1,SURF1
Surf2,SURF2
Surf4,SURF4
Rexo4,REXO4
Adamts13,ADAMTS13
Slc2a6,SLC2A6
Adamtsl2,ADAMTSL2
Fam163b,FAM163B
Dbh,DBH
Sardh,SARDH
Vav2,VAV2
Brd3,BRD3
Wdr5,WDR5
Rxra,RXRA
Col5a1,COL5A1
Fcnb,FCNB
Olfm1,OLFM1
Ppp1r26,PPP1R26
1700007K13Rik,1700007K13RIK
Mrps2,MRPS2
Gbgt1,GBGT1
Ralgds,RALGDS
Cel,CEL
Gtf3c5,GTF3C5
Gfi1b,GFI1B
Tsc1,TSC1
Ak8,AK8
Gtf3c4,GTF3C4
Ddx31,DDX31
Barhl1,BARHL1
Ttf1,TTF1
Setx,SETX
Ntng2,NTNG2
6530402F18Rik,6530402F18RIK
Med27,MED27
Rapgef1,RAPGEF1
Gm13547,GM13547
Trub2,TRUB2
Coq4,COQ4
Slc27a4,SLC27A4
Urm1,URM1
Cercam,CERCAM
Odf2,ODF2
Gle1,GLE1
Wdr34,WDR34
Set,SET
Pkn3,PKN3
Zdhhc12,ZDHHC12
Zer1,ZER1
Tbc1d13,TBC1D13
Endog,ENDOG
1700084E18Rik,1700084E18RIK
Lrrc8a,LRRC8A
Phyhd1,PHYHD1
Dolk,DOLK
Nup188,NUP188
Sh3glb2,SH3GLB2
Dolpp1,DOLPP1
Crat,CRAT
Ier5l,IER5L
Cstad,CSTAD
1700001O22Rik,1700001O22RIK
Asb6,ASB6
Prrx2,PRRX2
Ptges,PTGES
Tor1b,TOR1B
Tor1a,TOR1A
BC005624,BC005624
Usp20,USP20
Fnbp1,FNBP1
D330023K18Rik,D330023K18RIK
Gpr107,GPR107
Ncs1,NCS1
Ass1,ASS1
Fubp3,FUBP3
Exosc2,EXOSC2
Abl1,ABL1
Qrfp,QRFP
Fibcd1,FIBCD1
Lamc3,LAMC3
Aif1l,AIF1L
Nup214,NUP214
Fam78a,FAM78A
Prrc2b,PRRC2B
Pomt1,POMT1
Uck1,UCK1
Swi5,SWI5
Golga2,GOLGA2
Dnm1,DNM1
Ciz1,CIZ1
1110008P14Rik,1110008P14RIK
Lcn2,LCN2
Ptges2,PTGES2
Slc25a25,SLC25A25
Naif1,NAIF1
Fam102a,FAM102A
Dpm2,DPM2
Pip5kl1,PIP5KL1
St6galnac4,ST6GALNAC4
St6galnac6,ST6GALNAC6
Ak1,AK1
Eng,ENG
Fpgs,FPGS
Cdk9,CDK9
Sh2d3c,SH2D3C
6330409D20Rik,6330409D20RIK
Tor2a,TOR2A
Ttc16,TTC16
Ptrh1,PTRH1
Stxbp1,STXBP1
Fam129b,FAM129B
Lrsam1,LRSAM1
Rpl12,RPL12
Snora65,SNORA65
Slc2a8,SLC2A8
Garnl3,GARNL3
Ralgps1,RALGPS1
Angptl2,ANGPTL2
Zbtb34,ZBTB34
Zbtb43,ZBTB43
Lmx1b,LMX1B
C130021I20Rik,C130021I20RIK
Nron,NRON
Pbx3,PBX3
Mapkap1,MAPKAP1
Gapvd1,GAPVD1
Hspa5,HSPA5
Rabepk,RABEPK
Fbxw2,FBXW2
Psmd5,PSMD5
Phf19,PHF19
Traf1,TRAF1
Hc,HC
AI182371,AI182371
Rab14,RAB14
Gsn,GSN
Stom,STOM
4930568D16Rik,4930568D16RIK
4930402F06Rik,4930402F06RIK
Ggta1,GGTA1
Gm13446,GM13446
Dab2ip,DAB2IP
Ttll11,TTLL11
9030204H09Rik,9030204H09RIK
Ndufa8,NDUFA8
Morn5,MORN5
Lhx6,LHX6
Rbm18,RBM18
Mrrf,MRRF
Ptgs1,PTGS1
Pdcl,PDCL
Rc3h2,RC3H2
Zbtb6,ZBTB6
Zbtb26,ZBTB26
Rabgap1,RABGAP1
Gpr21,GPR21
Strbp,STRBP
Crb2,CRB2
Dennd1a,DENND1A
Lhx2,LHX2
Nek6,NEK6
Psmb7,PSMB7
Nr5a1,NR5A1
Nr6a1,NR6A1
Olfml2a,OLFML2A
Wdr38,WDR38
Rpl35,RPL35
Arpc5l,ARPC5L
Golga1,GOLGA1
Scai,SCAI
Gm16523,GM16523
Ppp6c,PPP6C
Lrp1b,LRP1B
Kynu,KYNU
Arhgap15,ARHGAP15
Gtdc1,GTDC1
Zeb2,ZEB2
Mir5129,MIR5129
Acvr2a,ACVR2A
Orc4,ORC4
Mbd5,MBD5
Epc2,EPC2
Kif5c,KIF5C
Lypd6b,LYPD6B
Lypd6,LYPD6
Mmadhc,MMADHC
Gm13483,GM13483
Gm13498,GM13498
Rnd3,RND3
Gm13490,GM13490
Rbm43,RBM43
Nmi,NMI
Tnfaip6,TNFAIP6
Rif1,RIF1
Neb,NEB
Arl5a,ARL5A
Cacnb4,CACNB4
Stam2,STAM2
Fmnl2,FMNL2
Prpf40a,PRPF40A
Arl6ip6,ARL6IP6
Rprm,RPRM
Galnt13,GALNT13
Kcnj3,KCNJ3
Nr4a2,NR4A2
BB557941,BB557941
4930555B11Rik,4930555B11RIK
Gpd2,GPD2
Galnt5,GALNT5
Ermn,ERMN
Cytip,CYTIP
Gm13546,GM13546
Acvr1c,ACVR1C
Gm13544,GM13544
Acvr1,ACVR1
Upp2,UPP2
Ccdc148,CCDC148
Pkp4,PKP4
5330411J11Rik,5330411J11RIK
Dapl1,DAPL1
Tanc1,TANC1
Wdsub1,WDSUB1
Baz2b,BAZ2B
March7,MARCH7
Cd302,CD302
Ly75,LY75
Gm13580,GM13580
Pla2r1,PLA2R1
Itgb6,ITGB6
Rbms1,RBMS1
Gm13582,GM13582
Tank,TANK
Psmd14,PSMD14
Tbr1,TBR1
Slc4a10,SLC4A10
Dpp4,DPP4
Gcg,GCG
Fap,FAP
Ifih1,IFIH1
Gca,GCA
Kcnh7,KCNH7
Fign,FIGN
Grb14,GRB14
Cobll1,COBLL1
Slc38a11,SLC38A11
Scn3a,SCN3A
Csrnp3,CSRNP3
Galnt3,GALNT3
Ttc21b,TTC21B
Scn1a,SCN1A
Gm13629,GM13629
Scn9a,SCN9A
Scn7a,SCN7A
Xirp2,XIRP2
B3galt1,B3GALT1
Stk39,STK39
Nostrin,NOSTRIN
Spc25,SPC25
G6pc2,G6PC2
Abcb11,ABCB11
Dhrs9,DHRS9
Lrp2,LRP2
Bbs5,BBS5
Fastkd1,FASTKD1
Ppig,PPIG
Phospho2,PHOSPHO2
Klhl23,KLHL23
Ssb,SSB
Mettl5,METTL5
Ubr3,UBR3
Myo3b,MYO3B
Sp5,SP5
Gad1,GAD1
Gorasp2,GORASP2
Tlk1,TLK1
Mettl8,METTL8
Dcaf17,DCAF17
Cybrd1,CYBRD1
Dync1i2,DYNC1I2
Slc25a12,SLC25A12
Hat1,HAT1
Metap1d,METAP1D
Dlx1,DLX1
Dlx1as,DLX1AS
Dlx2,DLX2
Itga6,ITGA6
Pdk1,PDK1
Rapgef4,RAPGEF4
Cdca7,CDCA7
Sp3,SP3
Ola1,OLA1
Sp9,SP9
Cir1,CIR1
Scrn3,SCRN3
Gpr155,GPR155
Wipf1,WIPF1
Chrna1,CHRNA1
Chn1,CHN1
Atf2,ATF2
Atp5g3,ATP5G3
4930441J16Rik,4930441J16RIK
Hoxd13,HOXD13
Hoxd12,HOXD12
Hoxd11,HOXD11
Hoxd10,HOXD10
Hoxd9,HOXD9
Hoxd8,HOXD8
Hoxd3,HOXD3
Hoxd4,HOXD4
Hoxd1,HOXD1
Mtx2,MTX2
Hnrnpa3,HNRNPA3
Nfe2l2,NFE2L2
Agps,AGPS
Ttc30b,TTC30B
Ttc30a2,TTC30A2
Ttc30a1,TTC30A1
Pde11a,PDE11A
Cyct,CYCT
Rbm45,RBM45
Osbpl6,OSBPL6
Prkra,PRKRA
Fkbp7,FKBP7
Plekha3,PLEKHA3
Ttn,TTN
Ccdc141,CCDC141
Sestd1,SESTD1
Zfp385b,ZFP385B
Gm13944,GM13944
Cwc22,CWC22
Gm14461,GM14461
Ube2e3,UBE2E3
Itga4,ITGA4
Cerkl,CERKL
Neurod1,NEUROD1
Ssfa2,SSFA2
Ppp1r1c,PPP1R1C
Pde1a,PDE1A
Prdx6b,PRDX6B
Dnajc10,DNAJC10
Gm13752,GM13752
Frzb,FRZB
Nckap1,NCKAP1
Dusp19,DUSP19
Nup35,NUP35
Zfp804a,ZFP804A
Zc3h15,ZC3H15
Itgav,ITGAV
Fam171b,FAM171B
Zswim2,ZSWIM2
Calcrl,CALCRL
Tfpi,TFPI
Gm13710,GM13710
Ctnnd1,CTNND1
Tmx2,TMX2
Med19,MED19
Zdhhc5,ZDHHC5
Clp1,CLP1
Ypel4,YPEL4
Serping1,SERPING1
Ube2l6,UBE2L6
Smtnl1,SMTNL1
Timm10,TIMM10
Slc43a1,SLC43A1
Rtn4rl2,RTN4RL2
Slc43a3,SLC43A3
Prg2,PRG2
Prg3,PRG3
P2rx3,P2RX3
Ssrp1,SSRP1
Tnks1bp1,TNKS1BP1
4930443O20Rik,4930443O20RIK
Aplnr,APLNR
Lrrc55,LRRC55
Olfr995,OLFR995
4833423E24Rik,4833423E24RIK
Olfr996,OLFR996
Olfr1029,OLFR1029
Olfr1030,OLFR1030
Olfr1033,OLFR1033
Olfr1034,OLFR1034
Olfr1259,OLFR1259
Olfr1506,OLFR1506
Ptprj,PTPRJ
Nup160,NUP160
Fnbp4,FNBP4
Agbl2,AGBL2
Mtch2,MTCH2
C1qtnf4,C1QTNF4
Ndufs3,NDUFS3
Kbtbd4,KBTBD4
Ptpmt1,PTPMT1
Celf1,CELF1
Rapsn,RAPSN
Psmc3,PSMC3
Slc39a13,SLC39A13
Mybpc3,MYBPC3
Madd,MADD
Nr1h3,NR1H3
Acp2,ACP2
Ddb2,DDB2
Pacsin3,PACSIN3
Arfgap2,ARFGAP2
1110051M20Rik,1110051M20RIK
Lrp4,LRP4
Ckap5,CKAP5
F2,F2
Zfp408,ZFP408
Arhgap1,ARHGAP1
Atg13,ATG13
Harbi1,HARBI1
Ambra1,AMBRA1
Chrm4,CHRM4
Mdk,MDK
Dgkz,DGKZ
Creb3l1,CREB3L1
Phf21a,PHF21A
Mir1955,MIR1955
Pex16,PEX16
1700029I15Rik,1700029I15RIK
Mapk8ip1,MAPK8IP1
Cry2,CRY2
D930015M05Rik,D930015M05RIK
Slc35c1,SLC35C1
Chst1,CHST1
Syt13,SYT13
Prdm11,PRDM11
Trp53i11,TRP53I11
Tspan18,TSPAN18
Gm13807,GM13807
Cd82,CD82
Gm10804,GM10804
Alx4,ALX4
Ext2,EXT2
Accs,ACCS
Accsl,ACCSL
Gm13889,GM13889
Alkbh3,ALKBH3
Hsd17b12,HSD17B12
Mir670,MIR670
Ttc17,TTC17
2810002D19Rik,2810002D19RIK
Api5,API5
Lrrc4c,LRRC4C
B230118H07Rik,B230118H07RIK
Rag2,RAG2
Rag1,RAG1
Traf6,TRAF6
Prr5l,PRR5L
Commd9,COMMD9
Ldlrad3,LDLRAD3
Trim44,TRIM44
Fjx1,FJX1
Pamr1,PAMR1
Slc1a2,SLC1A2
Cd44,CD44
Pdhx,PDHX
Apip,APIP
Ehf,EHF
A930006I01Rik,A930006I01RIK
Elf5,ELF5
Cat,CAT
Abtb2,ABTB2
Nat10,NAT10
Caprin1,CAPRIN1
Lmo2,LMO2
Fbxo3,FBXO3
Cd59b,CD59B
Cd59a,CD59A
A930018P22Rik,A930018P22RIK
D430041D05Rik,D430041D05RIK
Hipk3,HIPK3
Cstf3,CSTF3
Tcp11l1,TCP11L1
Depdc7,DEPDC7
Qser1,QSER1
Prrg4,PRRG4
Ccdc73,CCDC73
Eif3m,EIF3M
Wt1,WT1
Rcn1,RCN1
Pax6os1,PAX6OS1
Pax6,PAX6
Elp4,ELP4
Immp1l,IMMP1L
Dnajc24,DNAJC24
Mpped2,MPPED2
Kcna4,KCNA4
Mettl15,METTL15
Kif18a,KIF18A
Bdnf,BDNF
Lin7c,LIN7C
Lgr4,LGR4
Ccdc34,CCDC34
Bbox1,BBOX1
Fibin,FIBIN
Slc5a12,SLC5A12
Ano3,ANO3
Muc15,MUC15
Lpcat4,LPCAT4
Nop10,NOP10
Slc12a6,SLC12A6
Chrm5,CHRM5
Aven,AVEN
Ryr3,RYR3
Fmn1,FMN1
Grem1,GREM1
Scg5,SCG5
Arhgap11a,ARHGAP11A
Gjd2,GJD2
A530058N18Rik,A530058N18RIK
Actc1,ACTC1
C130080G10Rik,C130080G10RIK
Aqr,AQR
Zfp770,ZFP770
4930528P14Rik,4930528P14RIK
3110099E03Rik,3110099E03RIK
BC052040,BC052040
Meis2,MEIS2
2810405F15Rik,2810405F15RIK
Tmco5,TMCO5
D330050G23Rik,D330050G23RIK
Spred1,SPRED1
Fam98b,FAM98B
Rasgrp1,RASGRP1
4930412B13Rik,4930412B13RIK
Thbs1,THBS1
Fsip1,FSIP1
Gpr176,GPR176
1700054M17Rik,1700054M17RIK
Eif2ak4,EIF2AK4
Srp14,SRP14
Bmf,BMF
Bub1b,BUB1B
Pak6,PAK6
Plcb2,PLCB2
Phgr1,PHGR1
Disp2,DISP2
Ivd,IVD
Bahd1,BAHD1
Chst14,CHST14
Ccdc32,CCDC32
Rpusd2,RPUSD2
Rad51,RAD51
Gchfr,GCHFR
Dnajc17,DNAJC17
Gm14137,GM14137
Zfyve19,ZFYVE19
