gene_mouse,gene_upper
Klhl30,KLHL30
Ilkap,ILKAP
1700020N18Rik,1700020N18RIK
Hes6,HES6
Per2,PER2
Traf3ip1,TRAF3IP1
Asb1,ASB1
Twist2,TWIST2
Hdac4,HDAC4
Ndufa10,NDUFA10
Otos,OTOS
Gpc1,GPC1
Ankmy1,ANKMY1
Dusp28,DUSP28
Rnpepl1,RNPEPL1
9430060I03Rik,9430060I03RIK
Capn10,CAPN10
Gpr35,GPR35
Aqp12,AQP12
Kif1a,KIF1A
Agxt,AGXT
2310007B03Rik,2310007B03RIK
Sned1,SNED1
Pask,PASK
Ppp1r7,PPP1R7
Ano7,ANO7
Hdlbp,HDLBP
Sept2,SEPT2
Farp2,FARP2
Stk25,STK25
Bok,BOK
Thap4,THAP4
Atg4b,ATG4B
Dtymk,DTYMK
Ing5,ING5
D2hgdh,D2HGDH
Gal3st2,GAL3ST2
Neu4,NEU4
Pdcd1,PDCD1
4930440C22Rik,4930440C22RIK
Fam174a,FAM174A
St8sia4,ST8SIA4
4930598F16Rik,4930598F16RIK
Slco4c1,SLCO4C1
D1Ertd622e,D1ERTD622E
Ppip5k2,PPIP5K2
Gin1,GIN1
Pam,PAM
B230216N24Rik,B230216N24RIK
1810006J02Rik,1810006J02RIK
Cntnap5b,CNTNAP5B
Cdh20,CDH20
Rnf152,RNF152
Pign,PIGN
Tnfrsf11a,TNFRSF11A
Zcchc2,ZCCHC2
Phlpp1,PHLPP1
Bcl2,BCL2
Kdsr,KDSR
Vps4b,VPS4B
Serpinb5,SERPINB5
Serpinb12,SERPINB12
Serpinb13,SERPINB13
Serpinb3a,SERPINB3A
Serpinb3d,SERPINB3D
Serpinb3b,SERPINB3B
Serpinb3c,SERPINB3C
Serpinb11,SERPINB11
Serpinb7,SERPINB7
Serpinb2,SERPINB2
Serpinb8,SERPINB8
Cdh7,CDH7
Cdh19,CDH19
Dsel,DSEL
Cntnap5a,CNTNAP5A
Tsn,TSN
Clasp1,CLASP1
2900060B14Rik,2900060B14RIK
Tfcp2l1,TFCP2L1
Gli2,GLI2
Inhbb,INHBB
Ralb,RALB
Tmem185b,TMEM185B
Ptpn4,PTPN4
Tmem177,TMEM177
Sctr,SCTR
Tmem37,TMEM37
Dbi,DBI
3110009E18Rik,3110009E18RIK
Steap3,STEAP3
C1ql2,C1QL2
Marco,MARCO
En1,EN1
Insig2,INSIG2
Ccdc93,CCDC93
Htr5b,HTR5B
Ddx18,DDX18
Dpp10,DPP10
Actr3,ACTR3
Slc35f5,SLC35F5
Gpr39,GPR39
Lypd1,LYPD1
Nckap5,NCKAP5
Mgat5,MGAT5
Tmem163,TMEM163
Acmsd,ACMSD
2900009J06Rik,2900009J06RIK
Ccnt2,CCNT2
Rab3gap1,RAB3GAP1
Zranb3,ZRANB3
R3hdm1,R3HDM1
Ubxn4,UBXN4
Lct,LCT
Mcm6,MCM6
Dars,DARS
Cxcr4,CXCR4
Thsd7b,THSD7B
Cd55,CD55
Zp3r,ZP3R
C4bp,C4BP
C4bp-ps1,C4BP-PS1
Pfkfb2,PFKFB2
Yod1,YOD1
AA986860,AA986860
Fcamr,FCAMR
Pigr,PIGR
Il24,IL24
Il20,IL20
Il19,IL19
Il10,IL10
Mapkapk2,MAPKAPK2
Dyrk3,DYRK3
Eif2d,EIF2D
Rassf5,RASSF5
Ikbke,IKBKE
Srgap2,SRGAP2
Fam72a,FAM72A
Avpr1b,AVPR1B
Ctse,CTSE
Slc26a9,SLC26A9
Pm20d1,PM20D1
Slc41a1,SLC41A1
Nucks1,NUCKS1
Slc45a3,SLC45A3
Elk4,ELK4
Cdk18,CDK18
Lemd1,LEMD1
Klhdc8a,KLHDC8A
Nuak2,NUAK2
Tmcc2,TMCC2
Dstyk,DSTYK
Rbbp5,RBBP5
Tmem81,TMEM81
Cntn2,CNTN2
Nfasc,NFASC
Lrrn2,LRRN2
Mdm4,MDM4
Pik3c2b,PIK3C2B
Ppp1r15b,PPP1R15B
Plekha6,PLEKHA6
Gm19461,GM19461
Golt1a,GOLT1A
Kiss1,KISS1
Ren1,REN1
Etnk2,ETNK2
Sox13,SOX13
Snrpe,SNRPE
Zc3h11a,ZC3H11A
Lax1,LAX1
Atp2b4,ATP2B4
Optc,OPTC
Prelp,PRELP
Fmod,FMOD
Btg2,BTG2
Chit1,CHIT1
Mybph,MYBPH
Adora1,ADORA1
Myog,MYOG
Ppfia4,PPFIA4
Tmem183a,TMEM183A
4933406M09Rik,4933406M09RIK
Cyb5r1,CYB5R1
Adipor1,ADIPOR1
Klhl12,KLHL12
Rabif,RABIF
Kdm5b,KDM5B
Syt2,SYT2
Ppp1r12b,PPP1R12B
Ube2t,UBE2T
Lgr6,LGR6
Ptprv,PTPRV
Ptpn7,PTPN7
Arl8a,ARL8A
Gpr37l1,GPR37L1
Elf3,ELF3
Rnpep,RNPEP
Timm17a,TIMM17A
Lmod1,LMOD1
Shisa4,SHISA4
Ipo9,IPO9
Nav1,NAV1
Csrp1,CSRP1
Phlda3,PHLDA3
Tnni1,TNNI1
Lad1,LAD1
Tnnt2,TNNT2
Pkp1,PKP1
Igfn1,IGFN1
Tmem9,TMEM9
Cacna1s,CACNA1S
Kif21b,KIF21B
Gpr25,GPR25
Camsap2,CAMSAP2
9230116N13Rik,9230116N13RIK
Ddx59,DDX59
Kif14,KIF14
Zfp281,ZFP281
Gm19705,GM19705
Nr5a2,NR5A2
Ptprc,PTPRC
Atp6v1g3,ATP6V1G3
