group,gene,n_age_points,min_cells_per_age,slope_expr_vs_age,gene_class
Medium spiny neuron label,Atf4,3,3,-0.017605716446163603,Other proteostasis/stress
Medium spiny neuron label,Atf6,3,3,-0.01616830472049443,Other proteostasis/stress
Medium spiny neuron label,Bag3,3,3,-1.9824322183205673e-4,Other proteostasis/stress
Medium spiny neuron label,Ddit3,3,3,-0.0049846330382456415,Other proteostasis/stress
Medium spiny neuron label,Dnajb1,3,3,-0.014912595979834064,Other proteostasis/stress
Medium spiny neuron label,Dnajb6,3,3,0.03010669996922581,Other proteostasis/stress
Medium spiny neuron label,Eif2ak3,3,3,-0.00942344992392029,Other proteostasis/stress
Medium spiny neuron label,Hsf1,3,3,-0.005072369602706212,HSP/chaperone
Medium spiny neuron label,Hsp90aa1,3,3,-0.010575141660645347,HSP/chaperone
Medium spiny neuron label,Hsp90ab1,3,3,0.007450873840036561,HSP/chaperone
Medium spiny neuron label,Hspa1a,3,3,2.0402909648819267e-4,HSP/chaperone
Medium spiny neuron label,Hspa5,3,3,-0.015713372852002794,HSP/chaperone
Medium spiny neuron label,Hspd1,3,3,-0.037355499431018305,HSP/chaperone
Medium spiny neuron label,Hsph1,3,3,0.015611136462409157,HSP/chaperone
Medium spiny neuron label,Psmb5,3,3,0.0017463766583439267,Other proteostasis/stress
Medium spiny neuron label,Xbp1,3,3,-0.00698746902512174,Other proteostasis/stress
Microglia,Atf4,3,4269,-0.004770006802464494,Other proteostasis/stress
Microglia,Atf6,3,4269,-0.012969074045585843,Other proteostasis/stress
Microglia,Bag3,3,4269,-0.0016104751595228041,Other proteostasis/stress
Microglia,Ddit3,3,4269,-0.0018684948711906572,Other proteostasis/stress
Microglia,Dnajb1,3,4269,-7.101809354837148e-4,Other proteostasis/stress
Microglia,Dnajb6,3,4269,-0.0023366479899094316,Other proteostasis/stress
Microglia,Eif2ak3,3,4269,-0.006534870975073715,Other proteostasis/stress
Microglia,Hsf1,3,4269,-0.0021482027330536565,HSP/chaperone
Microglia,Hsp90aa1,3,4269,-0.001959703406505873,HSP/chaperone
Microglia,Hsp90ab1,3,4269,-0.014019990711822807,HSP/chaperone
Microglia,Hspa1a,3,4269,-2.006422218325475e-4,HSP/chaperone
Microglia,Hspa5,3,4269,-0.03264291585202077,HSP/chaperone
Microglia,Hspd1,3,4269,-0.004745570246999423,HSP/chaperone
Microglia,Hsph1,3,4269,-0.003504601199606139,HSP/chaperone
Microglia,Psmb5,3,4269,7.05515546981931e-5,Other proteostasis/stress
Microglia,Xbp1,3,4269,-0.010601904466345038,Other proteostasis/stress
