gene,jenage_blood_age_logFC_per_year,jenage_blood_age_logFC_per_decade,jenage_blood_age_t,jenage_blood_age_p,jenage_blood_age_fdr,jenage_blood_age_ave_log2_rpkm
ZC3HC1,-5.188079707333637e-4,-0.005188079707333638,-0.30154265858088225,0.7640173228958612,0.9436976295125156,2.223102755559615
INTS9,6.086752992032501e-4,0.006086752992032501,0.30143289322002403,0.7641006138271604,0.9436976295125156,2.1837459486137765
RNF220,8.33731742683338e-4,0.00833731742683338,0.30140977530503604,0.7641181562630479,0.9436976295125156,2.2427224457609984
H1FX-AS1,-1.3733354751292357e-4,-0.0013733354751292357,-0.3013356138172649,0.7641744326399853,0.9436976295125156,0.14334037413140335
FAM102B,3.2529793406835494e-4,0.0032529793406835495,0.30132754641209303,0.7641805545511847,0.9436976295125156,1.8019136725376603
RP11-923I11.4,6.613530739652699e-5,6.613530739652699e-4,0.30129505688806363,0.7642052092214336,0.9436976295125156,0.023944431902232142
NXF5,-4.446933195958856e-5,-4.446933195958856e-4,-0.30126218531824717,0.7642301540563097,0.9436976295125156,0.01799481940171959
TSHZ2,-2.530550205802936e-4,-0.0025305502058029362,-0.3012071946406608,0.7642718847008114,0.9436976295125156,0.28080294325897026
THBD,0.0010211456884502976,0.010211456884502977,0.3011880391723589,0.7642864213301359,0.9436976295125156,3.052077707717558
FAM166B,1.8656955207878396e-4,0.0018656955207878396,0.3011820811958151,0.7642909427141898,0.9436976295125156,0.16091735523663483
HTT-AS1,1.1669037203736685e-4,0.0011669037203736684,0.30114056596070293,0.7643224479882248,0.9436976295125156,0.03595993543005852
CTD-2196E14.6,-3.3993589331386437e-4,-0.0033993589331386435,-0.30111767342917756,0.7643398209496196,0.9436976295125156,0.31997241284716077
TNFRSF10B,8.317609579762313e-4,0.008317609579762313,0.3010658153844625,0.7643791760596715,0.9436976295125156,3.656580070655687
CDRT15L2,-6.407868104841373e-5,-6.407868104841372e-4,-0.30105782357153515,0.7643852411081047,0.9436976295125156,0.02387718536496554
PLAC9,3.473562530136309e-4,0.003473562530136309,0.30103538191860785,0.7644022723306679,0.9436976295125156,0.33150544549801947
ESRP2,-1.4496979065291586e-4,-0.0014496979065291586,-0.3009770699275577,0.7644465265016905,0.9436976295125156,0.22377514140402352
RP3-406A7.7,-3.797219035538929e-4,-0.003797219035538929,-0.30091570858265426,0.7644930957412098,0.9436976295125156,0.24599181600912795
RP1-144F13.4,-2.1748205655180907e-4,-0.0021748205655180907,-0.3009156565980581,0.7644931351944815,0.9436976295125156,0.2111341962678172
SLC25A23,6.491745467454711e-4,0.006491745467454711,0.3007898625776748,0.764588607341507,0.9437164628462104,0.7640697365493736
AC074019.2,2.911600734870064e-4,0.002911600734870064,0.30076392511640443,0.7646082931934856,0.9437164628462104,0.4709446568172578
RP11-475O23.3,-1.0616255144535852e-4,-0.0010616255144535853,-0.30076189937807607,0.7646098306822413,0.9437164628462104,0.05617773895397457
KCTD17,8.430615310813243e-4,0.008430615310813242,0.30062853569873443,0.7647110527356038,0.9437996587003937,1.4699578627535734
LINC00222,-6.241057836349752e-5,-6.241057836349753e-4,-0.3003723088481026,0.7649055385893265,0.943997947469737,0.042133064696727215
PSMD6-AS2,-9.095231840295511e-4,-0.00909523184029551,-0.3002386539398835,0.7650069937399391,0.9440056006056726,1.1186226633088643
UNG,6.461381148339251e-4,0.006461381148339251,0.3001844111866551,0.7650481696631319,0.9440056006056726,2.409116808672561
GK-IT1,-4.64452531747344e-4,-0.00464452531747344,-0.30012911562963723,0.7650901454748181,0.9440056006056726,0.26494842775854166
SNORA45,-9.092315846366887e-4,-0.009092315846366886,-0.3000764957101515,0.765130090820308,0.9440056006056726,2.2798482880240862
DKK3,2.60485754399632e-4,0.0026048575439963197,0.30006583470831816,0.7651381839817741,0.9440056006056726,0.21557083376949457
FBXO24,-1.236217921335798e-4,-0.001236217921335798,-0.2998971605417749,0.7652662342862946,0.9440056006056726,0.12904977314972207
NDOR1,9.406396758440892e-4,0.009406396758440893,0.2998721882783557,0.7652851927328657,0.9440056006056726,1.4996309462438273
FAM95B1,1.2083080198773603e-4,0.0012083080198773603,0.29983815392140306,0.7653110311728928,0.9440056006056726,0.0784660545643268
BCL2L11,6.476335551347984e-4,0.0064763355513479835,0.2998355490791357,0.7653130087462012,0.9440056006056726,1.6248150366840781
RP11-180A12.4,1.6000804034159866e-4,0.0016000804034159866,0.2997982636283663,0.7653413157038269,0.9440056006056726,0.0530408955097819
MAGI3,-1.4724110396233697e-4,-0.0014724110396233698,-0.2997758736505228,0.7653583142352722,0.9440056006056726,0.34554359086758824
FOXP2,-1.2432392043023839e-5,-1.243239204302384e-4,-0.29975972724174677,0.7653705727041283,0.9440056006056726,0.0027679266032821057
PPP1R1B,-1.481113097164499e-4,-0.001481113097164499,-0.299749496433125,0.7653783400382608,0.9440056006056726,0.08381691850627285
HNRNPA3P3,-3.5646718513115234e-4,-0.003564671851311523,-0.29974037566315465,0.7653852646401207,0.9440056006056726,0.5190673766568837
RP11-593F23.1,3.9211396206517025e-5,3.9211396206517024e-4,0.2995579471499276,0.7655237706675607,0.9441347078803191,0.011990303160937518
C21ORF2,4.252469863682708e-4,0.004252469863682708,0.2994654772224657,0.7655939799636723,0.9441795758378372,0.6226285232230296
ZNF133,-5.119354120985383e-4,-0.005119354120985383,-0.2994187766062299,0.7656294389158151,0.9441815853720573,1.7174604349456217
