gene,condition,phase_num,mean_expr,sd_expr,n,sem,row_group,ymin,ymax,x_num_plot
NFKB2,Control,9,7.8999698626249995,0.2883403754955923,24,0.05885723268389196,bottom,7.841112629941107,7.8999698626249995,9
NFKB2,Control,12,8.012776181181819,0.2565545838083746,22,0.054697621052260954,bottom,7.958078560129557,8.012776181181819,10
NFKB2,Control,15,7.956711573157895,0.301709537435534,19,0.06921691494652076,bottom,7.887494658211374,7.956711573157895,11
NFKB2,SR,-15,7.758983784533333,0.2399908794669715,15,0.06196537862781681,bottom,7.758983784533333,7.82094916316115,1
NFKB2,SR,-12,7.787431369863636,0.3053616455003776,22,0.06510332156820846,bottom,7.787431369863636,7.852534691431845,2
NFKB2,SR,-9,7.874213508863637,0.49693860693501984,22,0.10594766698330535,bottom,7.874213508863637,7.980161175846942,3
NFKB2,SR,-6,7.8560197742608695,0.4538978002316626,23,0.0946442338571003,bottom,7.8560197742608695,7.95066400811797,4
NFKB2,SR,-3,7.853588464666667,0.43155081257673683,21,0.09417210785012368,bottom,7.853588464666667,7.947760572516791,5
NFKB2,SR,0,7.796193395428571,0.49885980134905133,21,0.10886013337393625,bottom,7.796193395428571,7.905053528802507,6
NFKB2,SR,3,7.835337052695652,0.2715896000649629,23,0.05663034632154102,bottom,7.835337052695652,7.891967399017194,7
NFKB2,SR,6,7.894643154772727,0.39683493966353905,22,0.08460549341120197,bottom,7.894643154772727,7.97924864818393,8
NFKB2,SR,9,8.00247716657143,0.36830646523217675,21,0.0803710598032415,bottom,8.00247716657143,8.08284822637467,9
NFKB2,SR,12,8.090347086,0.42748563321256206,19,0.09807193026258171,bottom,8.090347086,8.188419016262582,10
NFKB2,SR,15,8.351492374625,0.5652031866584502,8,0.19982950301721802,bottom,8.351492374625,8.551321877642218,11
GPX3,Control,-12,5.912806017909091,1.1527436876084336,22,0.24576577997252605,bottom,5.667040237936565,5.912806017909091,2
GPX3,Control,-9,5.890882361636364,0.5734997664586386,22,0.12227056103875704,bottom,5.768611800597607,5.890882361636364,3
GPX3,Control,-6,6.02643887335,0.6023993640312068,20,0.13470059275764198,bottom,5.891738280592358,6.02643887335,4
GPX3,Control,-3,6.0251610542,0.6343597082549878,25,0.12687194165099755,bottom,5.898289112549002,6.0251610542,5
GPX3,Control,0,5.891532184130435,0.5272916284152236,23,0.10994790493620114,bottom,5.781584279194234,5.891532184130435,6
GPX3,Control,3,5.937905384727273,0.5935905906566101,22,0.1265539391499392,bottom,5.811351445577333,5.937905384727273,7
GPX3,Control,6,5.887684537090909,0.4079271984691988,22,0.08697037093457045,bottom,5.800714166156339,5.887684537090909,8
GPX3,Control,9,6.223370450083333,0.5947663496271482,24,0.12140617273035777,bottom,6.101964277352976,6.223370450083333,9
GPX3,Control,12,6.269949068045454,0.6858493565054763,22,0.146223574119002,bottom,6.123725493926452,6.269949068045454,10
GPX3,Control,15,6.227370136,0.3989671214583843,19,0.09152933495960078,bottom,6.135840801040399,6.227370136,11
GPX3,SR,-15,5.7771632128,0.7482515098444122,15,0.19319770909346423,bottom,5.7771632128,5.970360921893464,1
GPX3,SR,-12,5.958858214727273,0.6006450843714004,22,0.12805796226345864,bottom,5.958858214727273,6.086916176990731,2
GPX3,SR,-9,5.973994769045454,0.5726220482799783,22,0.12208343089430831,bottom,5.973994769045454,6.096078199939763,3
GPX3,SR,-6,5.942579478869565,0.5212176299487562,23,0.10868138870498213,bottom,5.942579478869565,6.0512608675745465,4
GPX3,SR,-3,6.050065437428572,0.7133647054916348,21,0.1556689410012046,bottom,6.050065437428572,6.205734378429776,5
GPX3,SR,0,6.018471145333334,0.5993842560774456,21,0.13079636780188997,bottom,6.018471145333334,6.149267513135223,6
GPX3,SR,3,6.1715160458695655,0.5796961702072929,23,0.12087500726190398,bottom,6.1715160458695655,6.292391053131469,7
GPX3,SR,6,6.045665012590909,0.5045835063272643,22,0.10757756501019844,bottom,6.045665012590909,6.153242577601108,8
GPX3,SR,9,6.241785463761905,0.5717952895534583,21,0.12477596173323405,bottom,6.241785463761905,6.366561425495139,9
GPX3,SR,12,6.379426831368421,0.4937968287141817,19,0.11328476184242006,bottom,6.379426831368421,6.492711593210841,10
GPX3,SR,15,6.23733576525,0.42210168861606756,8,0.14923548318535695,bottom,6.23733576525,6.386571248435357,11
PRDX2,Control,-12,10.972701305568181,0.5782240563101589,22,0.12327778301937271,bottom,10.84942352254881,10.972701305568181,2
PRDX2,Control,-9,10.967854042568181,0.5222051985965838,22,0.11133452242541547,bottom,10.856519520142765,10.967854042568181,3
PRDX2,Control,-6,10.912256938125,0.47884808707796217,20,0.1070736873602062,bottom,10.805183250764793,10.912256938125,4
PRDX2,Control,-3,10.96966450326,0.5029809129537496,25,0.10059618259074991,bottom,10.869068320669252,10.96966450326,5
PRDX2,Control,0,10.933922324869565,0.5293048480978865,23,0.11036769025869977,bottom,10.823554634610865,10.933922324869565,6
PRDX2,Control,3,10.996301898863637,0.5684918147661753,22,0.12120286215044956,bottom,10.875099036713188,10.996301898863637,7
PRDX2,Control,6,10.939672364727272,0.4898410003734373,22,0.10443445217996566,bottom,10.835237912547306,10.939672364727272,8
PRDX2,Control,9,10.967252304791666,0.5600192676213323,24,0.11431345431661676,bottom,10.852938850475049,10.967252304791666,9
PRDX2,Control,12,10.961028200613637,0.584871603667661,22,0.124695044878,bottom,10.836333155735636,10.961028200613637,10
PRDX2,Control,15,10.96161653286842,0.628178204087618,19,0.1441139636922524,bottom,10.817502569176169,10.96161653286842,11
PRDX2,SR,-15,11.177700845533334,0.630434731882131,15,0.1627775478300154,bottom,11.177700845533334,11.34047839336335,1
PRDX2,SR,-12,11.090981722977272,0.5158870158051212,22,0.10998748132820996,bottom,11.090981722977272,11.200969204305482,2
PRDX2,SR,-9,11.0879096865,0.6131607699085398,22,0.13072631538565832,bottom,11.0879096865,11.218636001885658,3
PRDX2,SR,-6,11.088241841086957,0.6028406643937769,23,0.12570096790584606,bottom,11.088241841086957,11.213942808992803,4
PRDX2,SR,-3,11.111017454142857,0.6236703411462268,21,0.13609602604769125,bottom,11.111017454142857,11.247113480190547,5
PRDX2,SR,0,10.968171698190476,0.625085447329621,21,0.13640482753349145,bottom,10.968171698190476,11.104576525723967,6
PRDX2,SR,3,11.031361135130435,0.5466439271414487,23,0.11398313816575746,bottom,11.031361135130435,11.145344273296192,7
PRDX2,SR,6,11.145552844681818,0.6126720333560345,22,0.130622116402555,bottom,11.145552844681818,11.276174961084374,8
PRDX2,SR,9,11.083031962214285,0.678799053541409,21,0.1481260973579947,bottom,11.083031962214285,11.23115805957228,9
PRDX2,SR,12,11.081770163394737,0.692879123731299,19,0.1589573726544077,bottom,11.081770163394737,11.240727536049144,10
PRDX2,SR,15,11.1702079788125,0.5566134016481158,8,0.19679255540234702,bottom,11.1702079788125,11.367000534214847,11
PRDX5,Control,-12,13.297243814318183,0.4370011096183802,22,0.09316894961883529,bottom,13.204074864699347,13.297243814318183,2
PRDX5,Control,-9,13.23942572840909,0.44597916924106196,22,0.09508307836187443,bottom,13.144342650047216,13.23942572840909,3
PRDX5,Control,-6,13.09904799775,0.404925088449709,20,0.09054400235686642,bottom,13.008503995393134,13.09904799775,4
PRDX5,Control,-3,13.185064374,0.44614159882662036,25,0.08922831976532407,bottom,13.095836054234676,13.185064374,5
PRDX5,Control,0,13.180219410434782,0.490421221202833,23,0.10225989358026379,bottom,13.077959516854518,13.180219410434782,6
PRDX5,Control,3,13.279142166818183,0.47532882838631013,22,0.10134044671643433,bottom,13.177801720101748,13.279142166818183,7
PRDX5,Control,6,13.379726202272726,0.4405063763506722,22,0.09391627499717743,bottom,13.28580992727555,13.379726202272726,8
PRDX5,Control,9,13.338025781666667,0.42312676406967137,24,0.08637038904047482,bottom,13.251655392626192,13.338025781666667,9
