gene_symbol,log_fc,t,p_value,adj_p_val,delta_mesor,mesor_p,mesor_FDR,rhythmic_SR_effect_amplitude,SR_effect_acrophase_h
IFT172,0.00910960244883073,0.49740603698543184,0.6191643010074264,0.7482430183046456,0.01249478592700735,0.4958909232969374,0.6702776877737742,0.05576796054461365,8.643867809559177
SERPING1,0.05395664869670519,0.8896655379273508,0.3741572509099398,0.5427918960676417,0.0413694922438577,0.4960262916327418,0.6704142872316646,0.08513067110585784,19.35236170934029
C6ORF58,-0.01464401377659754,-0.36361511863580664,0.7163292747216433,0.8204554455973057,-0.02724698170083674,0.49610425267505065,0.6704676788827698,0.03083019150200849,13.669413228796348
GPCPD1,0.03433008594345697,1.8844071155778117,0.06020359793964204,0.15522344733322932,0.0131855976882703,0.4961344166954021,0.6704676788827698,0.02785083087985354,20.908216854515366
CDX2,0.03395616397089077,0.5412965475224255,0.5885915793761047,0.7257359427440727,0.04283719118979039,0.49624029024971306,0.6705643808705928,0.06876359118903225,7.174407815852816
HOMER2,0.01047872800353569,0.2805367016536196,0.7792045701145308,0.8645489725532618,0.02583253463423277,0.49630302290844897,0.6706027776693404,0.0474301190640518,2.301663122118777
SEC61A2,-0.01291263114207214,-0.574878832309406,0.5656825407655004,0.7079999057899599,-0.01531818395750183,0.4965355863232189,0.6708706279708235,0.02443572240922878,3.012140660941205
FEZF2,0.06213360957325414,0.7427659200320261,0.4580406417796339,0.6177921163042398,0.05674031693795733,0.4966388890269433,0.6709438013576224,0.06138653266630124,12.139212262328847
RNASEH2C,-8.302283033922937e-4,-0.04230036606198836,0.9662794521837867,0.9813964020334396,0.01357511776260692,0.4966584149551204,0.6709438013576224,0.04471798422280884,2.7458319478740765
MTHFS,-0.01138291372997167,-0.5093776473826894,0.6107563499752859,0.7428138317587019,-0.01527348740812891,0.4967484255712093,0.6709746148603262,0.08327183234269207,21.65072566913964
DLC1,-0.01391718513567854,-0.4142973047090651,0.67886891134078,0.7921285840156554,-0.02290101686752238,0.49674989781404943,0.6709746148603262,0.04995420373958607,2.978815989591012
C20ORF26,-0.01343249623826006,-0.18311338497591165,0.8547978409861025,0.9140639493657342,-0.05020419313765839,0.49691773990114585,0.6711549319469374,0.1312483665424175,12.679368227683812
LBX1,0.01798215136026335,0.5438589880571806,0.5868284770482401,0.7243976797220253,0.02232823881352574,0.4970122333855629,0.6712021926581186,0.0912949630536877,6.853241020202409
OR7E24,0.0238887474530787,0.6743532178709063,0.5004595625642443,0.654758992505885,0.0241813310784752,0.49702142816452466,0.6712021926581186,0.04659357105252634,20.26955879148248
